layer, center, hexagon,,,,,,, binCount, mdtCount, population
2,POINT (105.85618845878219 21.025057124810864),POLYGON ((105.8573009850023 21.02685576192915, 105.85841348437388 21.02505711034249, 105.85730095815492 21.02325848045839, 105.85507595940942 21.02325848045839, 105.85396343319046 21.02505711034249, 105.85507593256204 21.02685576192915, 105.8573009850023 21.02685576192915)),4,5,104.6746746
2,POINT (105.85952599716964 21.030453079573054),POLYGON ((105.86063856367171 21.032251716690325, 105.86175110331672 21.03045306510061, 105.86063853681583 21.028654435219565, 105.85841345752348 21.028654435219565, 105.85730089102258 21.03045306510061, 105.85841343066758 21.032251716690325, 105.86063856367171 21.032251716690325)),5,8,172.5114623
2,POINT (105.86286341476388 21.02145990844191),POLYGON ((105.86397591413714 21.023258545560875, 105.86508838666754 21.021459893976246, 105.86397588729545 21.01966126409011, 105.86175094223235 21.01966126409011, 105.86063844286026 21.021459893976246, 105.86175091539064 21.023258545560875, 105.86397591413714 21.023258545560875)),3,3,201.9336422
2,POINT (105.8495131402162 21.032251557487736),POLYGON ((105.85062572014712 21.034050194604667, 105.85173827321815 21.032251543013935, 105.85062569328839 21.030452913133907, 105.848400587144 21.030452913133907, 105.84728800721425 21.032251543013935, 105.84840056028527 21.034050194604667, 105.85062572014712 21.034050194604667)),2,3,106.9339302
2,POINT (105.84617572262633 21.019661039792606),POLYGON ((105.8472882085763 21.02145967691191, 105.8484006676863 21.019661025328297, 105.84728818173747 21.017862395441146, 105.84506326351516 21.017862395441146, 105.84395077756633 21.019661025328297, 105.84506323667634 21.02145967691191, 105.8472882085763 21.02145967691191)),3,3,28.81559731
2,POINT (105.8495131402162 21.028654276016688),POLYGON ((105.85062569328839 21.030452913134297, 105.85173821950637 21.0286542615456, 105.85062566643535 21.026855631663537, 105.84840061399704 21.026855631663537, 105.84728806092602 21.0286542615456, 105.848400587144 21.030452913134297, 105.85062569328839 21.030452913134297)),3,6,86.98543487
2,POINT (105.86286337449853 21.028654536486084),POLYGON ((105.86397592757267 21.03045317360369, 105.8650884537926 21.028654522014993, 105.86397590071961 21.02685589213293, 105.86175084827744 21.02685589213293, 105.86063829520445 21.028654522014993, 105.86175082142438 21.03045317360369, 105.86397592757267 21.03045317360369)),1,2,90.91304348
2,POINT (105.85285104118938 21.02685573299992),POLYGON ((105.85396358083506 21.028654370117867, 105.85507609362939 21.02685571853019, 105.85396355398485 21.025057088647106, 105.8517385283939 21.025057088647106, 105.85062598874936 21.02685571853019, 105.8517385015437 21.028654370117867, 105.85396358083506 21.028654370117867)),1,3,43.47817785
2,POINT (105.84283810369261 21.028654210908496),POLYGON ((105.84395065676432 21.030452848026105, 105.84506318298182 21.028654196437408, 105.84395062991126 21.02685556655534, 105.84172557747395 21.02685556655534, 105.8406130244034 21.028654196437408, 105.8417255506209 21.030452848026105, 105.84395065676432 21.030452848026105)),1,1,33.44444444
2,POINT (105.85618785459701 21.039446446044032),POLYGON ((105.85730048826487 21.04124508315961, 105.85841309506147 21.039446431564805, 105.85730046139476 21.03764780168884, 105.85507524779925 21.03764780168884, 105.85396261413256 21.039446431564805, 105.85507522092915 21.04124508315961, 105.85730048826487 21.04124508315961)),1,2,91.221843
2,POINT (105.85952567498985 21.037647772731525),POLYGON ((105.86063829522172 21.03944640984744, 105.86175088858515 21.037647758253655, 105.86063826835446 21.03584912837668, 105.85841308162524 21.03584912837668, 105.85730046139456 21.037647758253655, 105.858413054758 21.03944640984744, 105.86063829522172 21.03944640984744)),0,null,null
2,POINT (105.85618785459701 21.032251883101942),POLYGON ((105.85730043453036 21.03405052021887, 105.85841298760381 21.032251868628137, 105.85730040767163 21.030453238748105, 105.85507530152238 21.030453238748105, 105.8539627215902 21.032251868628137, 105.85507527466365 21.03405052021887, 105.85730043453036 21.03405052021887)),4,4,192.6690949
2,POINT (105.85952599716965 21.01966123515992),POLYGON ((105.8606384831211 21.021459872279223, 105.86175094223255 21.01966122069561, 105.86063845628226 21.01786259080846, 105.85841353805705 21.01786259080846, 105.85730105210675 21.01966122069561, 105.8584135112182 21.021459872279223, 105.8606384831211 21.021459872279223)),3,10,1.326790488
2,POINT (105.84617572262631 21.02325832126365),POLYGON ((105.84728823542083 21.025056958382276, 105.84840072136966 21.023258306796635, 105.8472882085763 21.021459676911515, 105.84506323667634 21.021459676911515, 105.84395072388297 21.023258306796635, 105.8450632098318 21.025056958382276, 105.84728823542083 21.025056958382276)),2,2,22.52616279
2,POINT (105.85952567498985 21.03405049126048),POLYGON ((105.86063826835446 21.035849128377066, 105.86175083485634 21.034050476785318, 105.86063824149288 21.03225184690631, 105.85841310848683 21.03225184690631, 105.85730051512338 21.034050476785318, 105.85841308162524 21.035849128377066, 105.86063826835446 21.035849128377066)),2,2,91.61513514
2,POINT (105.85952599716965 21.02325851663096),POLYGON ((105.86063850996561 21.02505715374959, 105.86175099591591 21.023258502163944, 105.8606384831211 21.021459872278825, 105.8584135112182 21.021459872278825, 105.8573009984234 21.023258502163944, 105.85841348437368 21.02505715374959, 105.86063850996561 21.02505715374959)),2,2,100.7717682
